Russia,10120000,Russia produces 10.1 million barrels of oil per day. While they are top producer of oil they are ranked the #2 exporter below Saudi Arabia. Russia exports 5.4 million barrels per day. Russia has 74.200 million oil barrels proved reserves.,russia.jpg
Saudi Arabia,9764000,Saudi Arabia produces 9.7 million barrels of oil per day. They are ranked the #1 oil exporter with 8.7 million barrels per day. Saudi Arabia is first among all countries with 264.600 million oil barrels proved reserves.,saudi arabia.jpg
United States,9056000,The United States produces 9.05 million barrels of oil per day and exports 1.7 million barrels. They have 19.120 million oil barrels proved reserves. In 2010 oil was its largest import commodity.,usa.jpg
Iran,4172000,Iran produces 4.1 million barrels of oil daily. They are ranked the #4 exporter with 2.4 million barrels per day. Iran has 137.600 million barrels proved oil reserves and they are in top 10 counties by reserves.,iran.jpg
China,3991000,China produces 3.9 million barrels of oil every day. They are not in the top 30 oil exporters list. China has 20.350 million oil barrels proved reserves. China has already overtaken Iran to become the world's fourth largest crude oil producer.,china.jpg
Canada,3289000,Canada produces 3.2 million barrels of oil per day. They are ranked #9 in the oil exporters list with 2 million barrels per day. They have 175.200 million barrels proved reserves which puts them on second place after Saudi Arabia.,canada.jpg
Mexico,3001000,Mexico produces 3 million barrels of oil per day while exporting 1.2 million barrels. They have 12.420 million oil barrels proved reserves. Mexico is the sixth-largest oil producer in the world.,mexico.jpg
United Arab Emirates,2798000,The United Arab Emirates produces 2.8 million barrels of oil every day while exporting 2.7 million barrels. They are ranked the #3 exporter below Saudi Arabia and Russia. They have 97.800 million oil barrels proved reserves.,uae.jpg
Brazil,2572000,Brazil produces 2.5 million barrels of oil daily while exporting 570.000 barrels. They have 13.200 million oil barrels proved reserves. It is expected to become a major oil producer and exporter having recently made huge oil discoveries.,brazil.jpg
Kuwait,2494000,Kuwait produces 2.5 million barrels of oil per day. They export 2.3 million barrels daily placing them 5th among oil exporting countries. Kuwait is ranked 5th by oil reserves with 104.000 million barrels.,kuwait.jpg
Venezuela,2472000,Venezuela produces 2.5 million barrels of oil daily while exporting 2.3 million barrels per day. They have 97.770 million barrels proved oil reserves. The discovery of massive oil deposits during the 20-th cent. became the basis of its economy.,venezuela.jpg
Iraq,2399000,Iraq produces 2.4 million barrels of oil each day and exports 1.9 million barrels. Some reports suggest that Iraq will become increasingly important to meet the world's demand for oil. They have 115.000 million barrels proved reserves.,iraq.jpg
Norway,2350000,Norway produces 2.3 million barrels of oil daily and exports 2.1 million barrels. They have 6.680 million barrels proved oil reserves. On a per-capita basis it is the world's largest producer of oil and natural gas outside of the Middle East.,norway.jpg
Nigeria,2211000,Nigeria produces 2.2 million barrels of oil per day placing them 16th among producers. But they are the 6th biggest exporter exporting 2.3 million barrels each day. Nigeria is ranked 10th by oil reserves (37.500 million barrels).,nigeria.jpg
Algeria,2125000,Algeria produces 2.1 million barrels of oil daily and exports 1.9 million barrels. They have 13.420 million oil barrels proved reserves. Algeria's finances in 2000 and 2001 benefited from an increase in oil prices and the government's tight fiscal policy.,algeria.jpg
Angola,1948000,Angola produces 1.9 million barrels of oil daily and export 1.4 million barrels placing them at #15 on the world's list of exporters. Angola hold the 15th place by oil reserves as well.,angola.jpg
Libya,1790000,Libya produces 1.8 million barrels of oil per day while exporting 1.5 million barrels daily. They are among top 10 countries by proved oil reserves. Libya's economy depends primarily upon the oil sector which constitute all export earnings of the country.,libya.jpg
Kazakhstan,1540000,Kazakhstan produces 1.5 million barrels of oil daily and exports 1.3 million barrels. China is reportedly paying premium prices for Kazakhstan's oil. They have 30.000 million barrels proved oil reserves.,kazakhstan.jpg
United Kingdom,1502000,The United Kingdom produces 1.5 million barrels of oil daily and exports 1.4 million barrels. They have 3.084 million oil barrels proved reserves. Production is now in decline and the UK has been a net importer of oil since 2005.,uk.jpg
Qatar,1213000,Qatar produces 1.2 million barrels of oil daily and exports 753.000 barrels. They have 25.410 million barrels proved oil reserves. The national income primarily derives from oil and natural gas exports.,qatar.jpg
Indonesia,1023000,Indonesia produces one million barrels of oil every day. They are not in the top 30 oil exporters list but they have 4.050 million barrels proved oil reserves. The country's major export commodities include oil and gas.,indonesia.jpg
Azerbaijan,1011000,Azerbaijan produces one million barrels of oil daily and exports 528.900 barrels. They have 7.000 million oil barrels proved reserves. Azerbaijan is considered one of the most important spots in the world for oil exploration and development.,azerbaijan.jpg
